,english,korean,japanese
network fail,Network failed. Restarting the game.,통신 실패. 게임을 재시작합니다.,
network retry,Network failed. Please try again.,통신 실패. 잠시 후 다시 시도해주세요.,
touch to start,Touch to start,화면을 터치하면 시작합니다.,
ok,OK,확인,
cancel,Cancel,취소,
yes,Yes,예,
no,No,아니오,
continue,Continue,계속,
language,Language,언어,
complete,Complete,완료,
gem,Gem,잼,
video store,VIDEO STORE,비디오 상점,
exit game,Do you want to exit the game?,게임을 종료 하시겠습니까?,
exit,EXIT,종료,
welcome remember password,"Welcome` [%s].\nYou can access your account with Name and Password. Please, try not to forget.",반갑습니다 [%s]님.\n이름과 비밀번호로 계정에 접속할 수 있으니 이름과 비번 잊지 말아주세요 ^0^.,
ads not ready try later,Ads it not ready yet. Try again` later.,아직 광고가 준비되지 않았습니다. 잠시 후 다시 시도해주세요.,
update,UPDATE,업데이트,
update required,A new version is ready. Let’s enjoy after update the game.,새로운 버전이 나왔습니다. 업데이트하러 가볼까요?,
server maintenance,SERVER MAINTENANCE,서버 점검중,
server maintenance description format,The server is in maintenance mode. You can try accessing the game after about %d hours.,서버 점검중 입니다.\n약 %d 시간 후에 다시 접속해보세요!,
stage,Stage,스테이지,
lesson,Lesson,Lesson,
theLastLesson,The Last Lesson,The Last Lesson,
please wait,Please wait…,잠시만 기다려주세요,
shop,SHOP,상점,
buy,BUY,구매하기,
locked,Locked,잠겨있음,
coin,Coin,코인,
iap not ready,Product is not ready yet. Try again.,상품이 아직 준비되지 않았습니다. 다시 시도해주세요.,
almost expire buy again,About to expire! Buy again.,마감임박?! 다시 구매하세요!,
day left,Day left,남은 일수,
default gun,Default gun,기본 무기,
armor,Armor,아머,
merge,Merge,합성,
merging,Merging,합성,
result,Result,결과,
new account,New account,새 계정,
register,Register,등록,
auto register,Auto\nRegister,자동 등록,
shield,Shield,방패,
name,Nick Name,이름,
input name,Input your name,이름을 입력하세요,
same name exist,The name is already in use,이미 등록된 이름입니다.,
name registered,Your name is saved,이름이 저장되었습니다.,
new user,New User,신규유저,
existing user,Existing User,기존유저,
user id,User ID,유저ID,
is new user,Are you a new user?,신규 유저입니까?,
change,Change,변경,
account change,Change Account,계정 전환,
change name,Change Name,이름 변경,
change name alert,Don’t use bad word for your name. And report any insulting name. Here we inform you that any bad name can be changed by operator without warning.,욕설 등의 저속어로 이름을 짓지 말아주세요. 기분 나쁜 이름을 발견하면 신고해주세요. 사용자의 눈살을 찌푸리게 만드는 이름은 운영자에 의해 경고 없이 임의의 이름으로 변경 됨을 알려 드립니다.,
gift from dev team,Gift from Dev team,운영자가 보낸 선물,
message to dev team,Send message to Dev team,운영자에게 메세지 보내기,
visit forum,Visit community forum,게시판을 방문하기,
visit forum reward message,You just got rewarded. Don’t forget to visit the forum and get rewarded everyday!,보상이 지급되었습니다.\n매일매일 방문 보상이 지급되니 잊지말고 출첵 남겨보세요!,
you received reward,You just received reward.,보상이 지급되었습니다.,
login failed,Failed to log-in,로그인에 실패하였습니다,
login success,Log-in success. Restarting the game.,로그인에 성공했습니다. 게임을 재시작합니다.,
weapon,Weapon,무기,
battle,Battle,배틀,
mission,MISSION,임무,
exp,EXP,경험치,
move,MOVE,이동,
name,Name,이름,
password,Password,비밀번호,
confirm password,Confirm password,비밀번호 확인,
password not match,Passwords are not matched,비밀번호가 일치하지 않습니다.,
setting,Setting,설정,
profile,Profile,프로필,
rank th,Rank %d[th],랭킹 %d위,
avatar,Avatar,아바타,
must equip 3 weapons,You need at least 3 weapons equipped.,3개 이상의 무기를 장착해야합니다.,
report bug or cheating,Report a bug or bad users,버그나 못된 유저를 신고해주세요,
you should battle to rank,Battle other users to get your rank!,불꽃 튀는 배틀로 랭킹에 오르세요!,
change account,Change account,계정 전환,
mission desc 0,Pick 1 weapon from Chest menu,보물상자에서 무기를 1회 뽑아보세요,
mission desc 1,Pick 1 shield from Chest menu,보물상자에서 방패를 1회 뽑아보세요,
mission desc 2,Pick 1 rune stone from Chest menu,보물상자에서 마나석을 1회 뽑아보세요,
mission desc 3,Play the daily dungeon for 1 time,요일 던전을 1회 플레이 하세요,
mission desc 4,Merge weapons for 1 time,무기를 1회 합성하세요,
mission desc 5,Defeat BAZOOKA MAN 1 time,바주카맨을 1회 처치하세요,
mission desc 6,Open the gift box for 1 time,선물상자를 1회 열어보세요,
mission desc 7,Win Avatar challenge for 1 time,아바타 점령전에서 1회 승리하세요,
mission desc 8,Win Network battle for 1 time,네트워크 대전에서 1회 승리하세요,
mission desc 9,Fix a weapon in Search menu,탐색 메뉴에서 무기를 1회 수리하세요,
mission desc 10,Receive tickets from monthly product,월정액 입장권을 받으세요,
mission desc 11,Collect items from avatars,아바타 점령전에서 재료를 모으세요,
starter pack,Starter,스타터팩,
essential pack,Essential Pack,입문 필수팩,
ads can skip by essential pack,With Essential Pack purchased` no ads.,입문 필수팩 구매시 광고 없이 모든 보상 수령 가능,
reset in,Reset in,초기화,
ads left,Ads left,남은 광고,
quick starter,Quick Starter,빠른 입문팩,
package 0,Fast Runner Pack,효과 빠른 팩,
package 1,Luxury Pack,럭셔리 팩,
genuine user,Genuine User,장기유저 추천팩,
package product,Package,패키지,
monthly product,Monthly,월정액,
gem monthly desc,Best efficient! Check it out!\nGet your gem everyday!,비교해보세요! 최고의 가성비!\n매일 접속해서 잼 획득!,
ticket monthly desc,Speed up\nwith more tickets!,빠르게 레벨업! 빠른 성장 필수팩!,
buy once description,You can buy it only once,해당 상품은 한 번만 구매 가능합니다,
remove ads,Remove ADS,광고 제거,
3-star weapon,3-Star Weapon,3성 무기,
4-star weapon,4-Star Weapon,4성 무기,
3-star shield,3-Star Weapon,3성 방패,
4-star shield,4-Star Weapon,4성 방패,
2-star rune,2-Star Rune,2성 마나석,
3-star rune,3-Star Rune,3성 마나석,
instant provide,Instantly Provides,즉시지급,
provided for 30 days,Provides for 30 days,30일 동안 제공,
monthly instant reward,Instant reward for Monthly product,월정액 상품 즉시지급 보상,
monthly daily reward,Daily reward for Monthly product,월정액 상품 일일 보상,
total,Total,합계,
purchase complete,Purchase Complete,구매 완료,
avatar challenge,Avatar Challenge,아바타 점령전,
network battle,Network Battle,네트워크 대전,
player won result description,You won!,당신이 이겼습니다!,
enemy won result description,You lost. Upgrade your armor and try again.,당신은 패배하였습니다.\n장비를 업그레이드하고 다시 시도하세요!,
gun head,GUN HEAD,건 해드,
next match,Next Match,다음 상대,
rival match,Rival Match,라이벌 매치,
rival match description,Result will be applied to war info.  Every reward and panelry will be doubled. Win for your house family.,결과는 전쟁 정보에 반영됩니다. 모든 보상과 패널티는 두 배가 됩니다. 당신의 가문을 위해 승리하세요!,
tip0,Promote your weapons to be strong,무기를 합성하면 더 강력한 무기를 얻을 수 있습니다.,
tip1,Fix and get a weapon from Search menu,탐색 메뉴에서 운 좋게 무기를 얻을 수 있습니다.,
tip2,Get rewards from Mission,임무를 통해 다양한 보상을 획득하세요.,
tip3,New missions everyday!,임무는 매일 초기화 됩니다.,
tip4,EXP can be obtained only from Battle,경험치는 배틀을 통해서만 얻을 수 있습니다.,
tip5,Items for mission can be obtained from Avatar Challenge,아바타 점령전에서는 임무에 필요한 아이템을 얻을 수 있습니다.,
tip6,Rune can be obtained from Network Battle,네트워크 대전에서는 마나석을 얻을 수 있습니다.,
tip7,Network Battle opponents can be refreshed once a day for free,네트워크 대전 상대들은 하루에 한 번 무료로 새로고침 할 수 있습니다.,
tip8,Hero’s HP increases as much as Shield’s.,방패 착용시 방패의 체력만큼 영웅의 체력이 증가합니다.,
get result right now,SKIP,바로 확인,
select,Select,선택하기,
selected,Selected,선택됨,
trophy desc 0,Defeat BAZOOKA MAN,바주카맨 처치,
trophy desc 1,Defeat MACHINEGUN MAN,머신건맨 처치,
trophy desc 2,Defeat GIANT PIERROT,자이언트 처치,
trophy desc 3,Defeat MYSTeRY HOOD,미스테리후트 처치,
trophy desc 4,Clear the dungeon with only Pistol,딱총으로 던전 클리어,
trophy desc 5,Register every gun in Collection,모든 무기 도감 등록,
trophy desc 6,Register every shield in Collection,모든 방패 도감 등록,
trophy desc 7,Register every rune in Collection,모든 마나석 도감 등록,
trophy desc 8,Challenge and win all the avatars,모든 아바타 점령,
achievement complete,You got a remarkable achievement!,업적을 달성했습니다!,
achieve name 0,Defeat BAZOOKA MAN,바주카맨 처치,
achieve name 1,Defeat MACHINEGUN MAN,머신건맨 처치,
achieve name 2,Defeat GIANT PIERROT,자이언트 처치,
achieve name 3,Defeat MYSTeRY HOOD,미스테리후트 처치,
achieve name 4,,무기 뽑기,
achieve name 5,,방패 뽑기,
achieve name 6,,룬 뽑기,
achieve name 7,,무기 합성,
achieve name 8,,방패 합성,
achieve name 9,,룬 합성,
achieve name 10,,무기 강화,
achieve name 11,,방패 강화,
achieve name 12,,요일 던전 입장,
achieve name 13,,보스 던전 입장,
achieve name 14,,삐에로 처치,
achieve name 15,,출석,
achieve name 16,,온라인 배틀,
achieve name 17,,점령 진행,
,,,
,,,
access reward am79,Morning access reward,아침 접속 보상,
access reward pm1214,Launch access reward,신나는 점심시간 접속 보상,
access reward pm1720,Dinner access reward,저녁 접속 보상,
access reward pm2022,After dinner access reward,애매한 시간에 접속 보상,
access reward pm2224,Midnight access reward,심야 접속 보상,
free,Free,무료,
tier,Tier,등급,
tier0,1 Star,1성,
tier1,2 Star,2성,
tier2,3 Star,3성,
tier3,4 Star,4성,
tier4,5 Star,5성,
ticket,Ticket,티켓,
network ticket,Battle Ticket,배틀 입장권,
local ticket,Challenge Ticket,점령 입장권,
search ticket,Search Ticket,탐색권,
cool time,Cool Time,쿨 타임,
weapon power,Weapon Power,공격력,
critical possibility,Critical Possibility,크리티컬 확률,
critical power,Critical Power,크리티컬 배수,
can not select same weapon,Two of the same kind of weapons can not be equipped.,같은 무기를 두개 이상 장착할 수 없습니다.,
not enough items in same tier,Not enough items in the same tier,같은 등급의 아이템이 부족합니다.,
already registered,The item is already registered.,이미 등록된 아이템입니다.,
not same tier item,It is not an item in the same tier.,같은 등급의 아이템이 아닙니다.,
not good item,It is not a advanced item.,일반 아이템이 아닙니다.,
not enough level 0 5 star,There is 5 star item but they are ranked up. You can select them manually.,5성 아이템이 있지만 강화된 아이템입니다. 재료로 사용하려면 수동으로 선택하세요.,
gray crystal,Gray Crystal,회색 크리스탈,
green crystal,Green Crystal,초록색 크리스탈,
orange crystal,Orange Crystal,주황색 크리스탈,
red crystal,Red Crystal,빨간 크리스탈,
purple crystal,Purple Crystal,보라색 크리스탈,
not enough format,Not enough %s,%s이(가) 부족합니다.,
power,Power,공력력,
weapon interval,Interval,연사 시간,
single damage,Damage,단일 공격력,
mana color,Mana Color,마나색,
hp,HP,체력,
defence,Defence,방어력,
extra defence,Extra defence,추가 방어력,
dodge,Dodge,회피,
gift desc,3 free weapons everyday!,매일 무기 3개 공짜!,
rank up,Enhancement,강화,
rank up description,Only 5 star items can be enhanced.,오직 5성 아이템만 강화가 가능합니다.,
rune rank up description,Rune can be enhanced in Rune menu.,마나석은 마나석 메뉴에서 강화 가능합니다.,
not same rune,You should choose the same rune.,동일한 마나석이 아닙니다.,
rune desc format,Increase [%s][%s][%s],[%s][%s][%s] 증가,
rune info,Rune information,마나석 정보,
new item found,You found a new item!,새로운 아이템을 발견하였습니다.,
new ui found,You found a new UI!,새로운 UI를 발견하였습니다.,
success,Success,성공,
failed,Failed,실패,
7 day dungeon,7 days dungeon,요일 던전,
monday,Monday,월요일,
tuesday,Tuesday,화요일,
wednesday,Wednesday,수요일,
thursday,Thursday,목요일,
friday,Friday,금요일,
saturday,Saturday,토요일,
sunday,Sunday,일요일,
score,Score,점수,
reward,Reward,보상,
main menu,MENU,메인 메뉴,
bag,BAG,가방,
collect,COLLECT,도감,
search,SEARCH,탐색,
dungeon,DUNGEON,요일 던전,
boss,BOSS,보스 던전,
gift,GIFT BOX,선물상자,
armor,ARMOR,아머,
research,RESEARCH,연구,
achievement,ACHIEVEMENT,업적,
attend,ATTEND,출석,
daily reward,Daily Reward,출석 보상,
enter,Enter,입장,
rune,RUNE,마나석,
effect,Effect,효과,
red,Red,붉은색,
yellow,Yellow,노란색,
green,Green,초록색,
blue,Blue,파란색,
post,POST,우편함,
chest,CHEST BOX,보물상자,
,,,
char name 0,Andrew,앤드류,
char name 1,Mike,마이크,
char name 2,Bree,브리,
char name 3,Karl,칼,
char name 4,Dustin,더스틴,
char name 5,Joly,졸리,
char name 6,Karen,카렌,
char name 7,Huanita,후아니타,
char name 8,Nick,닉,
char name 9,Din,딘,
char name 10,Jackson,잭슨,
char name 11,Danny,대니,
char name 12,Ven,벤,
char name 13,Mario,마리오,
char name 14,Anna,안나,
char name 15,HawkEye,매의눈,
char name 16,Jane,제인,
char name 17,Tina,티나,
char name 18,AOKIZI,아오키지,
char name 19,Jimmy,지미,
char name 20,Hermione,헤르미온느,
char name 21,Dary,대리,
char name 22,Godam,고담,
search for broken guns,Search for broken guns,고장난 무기 찾기,
next search,Next search,다음 찾기,
engineer fix,Engineer fix,전문가 수리,
try fix,Try fix,수리 해보기,
pick one,Pick 1 ea,1개 뽑기,
pick ten,Pick 11 ea,11개 뽑기,
unlock at format,Unlock at Level %d,레벨 %d 부터 사용 가능합니다,
starters armor,Starter’s armor,기본 탄창,
starters suitcase,Starter’s suitcase,기본 슈트케이스,
auto targeting title,Auto Targeting,자동 타게팅,
auto targeting desc,Not recommended for an expert,전문가에겐 비추천 기능,
guns,Guns,모든 무기,
time over,Request time over,요청 시간이 초과되었습니다.,
upgrade,UPGRADE,업그레이드,
abilities,ABILITIES,능력치,
life,Life,생명력,
select day,Select day,날짜 선택,
receive,Receive,받기,
receive all,Receive all,모두 받기,
not enough gem,Not enough gems,잼이 모자랍니다.,
not enough search ticket,Not enough search tickets,탐색권이 부족합니다.,
not enough ticket,Not enough tickets,입장권이 부족합니다.,
obtained,Obtained,획득,
faq search rate,Probability for search\n1 Star: 50%\n2 Star: 30%\n3 Star: 10%\n4 Star: 5%\n5 Star: 1%,탐색창의 무기 수리 확률\n1성: 50%\n2성: 30%\n3성: 10%\n4성: 5%\n5성: 1%,
far weapon pick rate,Probability for chest\n1 Star: 58.9%\n2 Star: 30%\n3 Star: 10%\n4 Star: 1%\n5 Star: 0.1%,보물상자의 확률\n1성: 58.9%\n2성: 30%\n3성: 10%\n4성: 1%\n5성: 0.1%,
in tutorial follow guide,Please follow the tutorial. Rewards awaits you in the end.,튜토리얼 가이드를 따라주세요. 마치면 소정의 보상을 드립니다.,
welcome0,Welcome!|Clear the tutorial dungeon`' First.|Get on the warp and activate it!,어서와. 총들고 던전은 처음이지?|먼저 튜토리던 던전을 클리어 해야돼.|제단 위에 서서 워프 해봐.,
welcome1,Don't tell me you don’t know how to interact with UI.| OMG. This is safe place. You can practice here.,뭐?어떻게 조작 하는지 모르겠다구?| 이런. 여긴 안전한 곳이야. 여기서 조작법은 여기서 익혀두는게 좋아.,
welcome2,I stayed up all knight playing Cartoon Craft.,이제 어떻게 하는지는 알겠고. 왜? 막상 들어가려니 겁나?,
welcome3,Argggg.. boring.|Do you want to play Shoot-and-hide with me?|I get to shoot first. OK? No? Alright.,흠. 역시 문지기는 지겹단 말이지.|나랑 총쏘기 놀이 해볼래? 내가 먼저 쏠게. 싫어? 알았어.,
welcome4,If you could clear the dungeon' then I have a story to tell you. Interested?,하~암. 어제 카툰 크래프트 하다가 밤을 샜더니 졸리네.,
knight0,Clear the tutorial dungeons' first.,튜토리얼 던전을 깨고 오라.,
knight1,Don't talk to me anymore.,귀찮으니 더 이상 말걸지 말라.,
knight2,You are now ready to enter the dungeon. Good luck.,이제 던전에 들어가도 좋다. 무운을 비마.,
knight3,Did I not tell you not to talk to me anymore?,귀찮다고 말했을텐데.,
knight4,You are warned.,마지막 경고다. 더 이상의 자비는 없다.,
knight5,I just want to… Never mind.,너님 이러다 혼남.,
readyToEnter0,Are you interested in the story that comes with the princess who is locked in this this dungeon?|Then beat the dungeon. Then come and talk to me again.,튜토리얼 던전을 굳이 클리어한 걸 보니. 이야기에 관심이 있나보구만.|이 던전에는 공주가 갇혀있어. 수천년 전에 갇혀서 아직도 이곳에 남아있지.|이야기가 더 듣고 싶으면 던전을 클리어하고 내게 다시 오게나.,
readyToEnter1,The princess is still here. Being cursed. Not getting old.,아직 공주는 이 던전 안에 갇혀있어. 저주에 걸린 채 말이야. 늙지도 않고 말이지.,
readyToEnter2,Welcome to the HELL. Go talk to the knight. She will let you in.,지옥에 들어갈 준비는 됐나? 고철덩어리 기사한테 가봐. 이제 던전에 들어갈 수 있어.,
sonTalk,Dad!,아빠!,
dadTalk,Bazinga! lol,메롱~,
princessTalk,Give me my stuff!,내 물건들 내놔!,
stageLobby,Stage Lobby,Stage Lobby,
stageArena,Arena,Arena,
stageTypeYourName,Type your name,Type your name,
daryTalk,???,???,
stageTitle-300,Room of proof,Room of proof,
stageTitle-200,Naming room,Naming room,
stageTitle-100,Lesson from the hood,Lesson from the hood,
stageTitle-1,Chamber of the knight,Chamber of the knight,
stageTitle0,Deep dark inside,Deep dark inside,
stageTitle1,Twin brother,Twin brother,
stageTitle2,Small room,Small room,
stageTitle3,Under the hood,Under the hood,
bossTitle0,BAZOOKA MAN,BAZOOKA MAN,
bossTitle1,MACHINE GAN,MACHINE GAN,
