,english,korean,japanese
story2,You made it once again!|Tiara. Congrats. And here is the story.|This is about the goblins who kidnapped the princess.|Goblins like pretty human females.|But not that much to risk their lives.|Then why did they kidnap her?|Because of all the golds and jewels she owned.|Goblins value gold above their lives.|She owns a lot of valuable stuffs from the every prince in every kingdom.|So goblins was stealing the stuffs in her room. And she woke up.|She was just a bonus to them.|They are still hiding her stuff in the safe places like boss rooms.|So that means goblins are still making more bosses. Please be waiting for them.|What? Goblins are pierrot? No' no' no.|That is another story. I might need.. another..|Alright' I will tell you a little bit more. So don’t die in the next mission.|I need to collect all the princess’s belongings.|Hmm! Where was I..? |Right! Goblins are not pierrot. You can hardly find goblin.|Because they are sneaky and chicken. They can feel the danger and hide like a rat.|I will tell you about the pierrot after this goblin story.|This dungeon is a huge maze. And it is really complicated.|Actually' all the prince didn’t even see the end of the dungeon.|They are trained to fight since the first walk. So it is nonsense if they were killed by goblins or pierrot.|They just got lost in the dungeon.|Then how do goblins live here? Good question.(If you asked)|Are goblins smart enough to remember all the path? No.|They are stupid enough to forget their own names.|BTW' what is your name? My name is secret. Haha.|There are a tons of goblins here. They are every where.|You might heard the stick sound in the dungeon.|Listen carefully' you can hear them' right now.|That is from goblins.|They communicate with the stick sound so that they can go to the right way.|They are not smart enough to come up with that idea.|There must be a leader who taught them to do it.|Anyway it is time for you to get more stuff.|What? Don’t look at me like that. Information is gold.|Didn’t your teacher tell you that?,또 한 번 성공했구만! 이 번엔 티아라군. 고맙네. 그럼 이야기를 시작해볼까?|지난 번 하던 이야기를 마저 하려면 고블린에 대해서 알아야 해. 그러니 이번엔 고블린에 대한 얘기를 해줄께.|고블린들은 예쁜 인간 여자들을 좋아해.|하지만 목숨을 걸 정도로 좋아하진 않아.|그런데 왜 목숨을 걸고 성까지 쳐들어가서 공주를 납치했을까?|왜냐하면 공주의 물건들 때문이야.|고블린들을 금과 보석을 그 들의 목숨보다 소중하게 여기거든.|그리고 공주는 각국의 왕자들에게 선물받은 귀중한 보석을 아주 많이 가지고 있었어.|그래서 고블린들은 공주가 잠들었을 때 공주의 방에서 보석들을 훔치고 있었던게야.|그러다 공주가 깨어나고 말았지.|그래서 고블린들이 어떻게 했냐고? 그야 당연히 기절시켜서 납치했지.|무거운 보석상자들도 옮기는데 사람 한 명 더 훔치는 건 그리 어려운 일이 아니었어.|던전으로 돌아온 고블린들은 그 보석들을 안전한 곳에 숨겨두었어. 가장 안전한 곳은 보스의 방이지.|그럼 그 피에로들이 고블린이냐구? 아니아니. 그건 아니야.|다음에 얘기해줄까 했는데 너무 야박하게 굴면 또 안되니까. 좀 더 얘기해주지.|나도 인심 쓰는거니깐 다음 던전도 성공해서 공주의 물건을 가져다 달라구.|난 공주의 물건을 다 모아야 하니까. 어험.|어디까지 이야기했더라.. 그래. 고블린은 피에로가 아니야.|고블린들을 찾는 건 쉬운 일이 아니지.|그들은 겁이 많고 날쌔서 쥐새끼 처럼 숨어다니지.|피에로 이야기는 고블린에 대한 이야기가 모두 끝나고 해주지.|이 던전은 거대한 미로와도 같아. 엄청나게 복잡하지.|던전에 찾아온 대부분의 왕자들이 다시는 나오지 못한것도 그것 때문이야.|걸음마가 시작될 무렵부터 수련을 시작한 왕자들이 던전에서 모두 고블린이나 피에로에게 당했다는 건 억측이지.|그들은 그냥 던전에서 길을 잃었을 뿐이야.|그럼 고블린들은 어떻게 여기서 살고 있냐고? 좋은 질문이야!|고블린들이 똑똑해서 이 길을 다 외우고 있냐고?|아니야. 그들은 그 들의 이름조차 잊을 정도로 기억력이 좋지 않아.|그나저나 자네 이름은 뭔가? 내 이름은 비밀이라네ㅋㅋ|아무튼 이곳에는 고블린들이 아주 많이 있어.|그들은 모든 던전에 곳곳에 배치되어 있지. 아마 던전에서 막대기 두드리는 소리를 들은 적이 있을꺼야. 지금도 잘 들어보면.. 들리지?|고블린들이 내는 소리야.|그들을 막대기 소리를 듣고 원하는 곳으로 이동할 수 있지.|고블린들은 이런 고상한 방법을 떠올릴만큼 똑똑하지도 않아. 분명 그 뒤에 고블린들을 조정하고 있는 리더가 있을꺼야. 그 리더가 가르친게지.|이제 또 다른 공주의 물건을 가져올 시간이야.|그런 눈으로 쳐다보지 말게. 정보는 금과 같다고 하지 않나?,
story3,Can’t believe you made it!|I thought you were gonna die this time. But.. you didn’t! Congrats!|What have you found? A shoe! The glass shoe!|Goblins stole them to sniff the awful smell.|You know pretty girls also stink' right?|I am serious.|I already told you about the goblins.|I am going to tell you about the pierrot.|There was a pierrot who adore the pretty princess.|Sounds familiar?|But he was a pierrot. Not a prince.|So he would never have a chance to talk to her.|Although' he was genius.|He came up with an idea that he can meet.. no' have her.|Kidnapping!|Then he is the goblin? No! I told you he is not!|Sorry' I yelled.|He was luckily rich. Because he was doing his job very well.|He hired the best architect and made him to build a huge maze. Yes' this dungeon.|And locked him in the dungeon to keep the maze mystery.|He should have killed him. But he has no guts to kill a man.|Anyway the real problem was how to kidnap the princess.|He was not a perfect genius to prepare the kidnapping plan before the maze completed.|He left the dungeon for a few days to hire a wizard. He was going to turn the princess into a frog and then kidnap it or her.. what ever!|But when he arrived at the dungeon with a wizard' he was able to witness the goblins taking the princess into the dungeon.|And when he entered the dungeon' he realised the dungeon did not belong to him anymore.|But everything was in the right position.|The princess was locked in the dungeon. He knew how to break in and out.|If he rescued her from the dungeon' he would be the hero and marry the princess!|It looked like a perfect plan. And it was!|Until the guy showed up.|Who is the guy? huhuhu…|Let me have one more the belongings.,믿을 수가 없구만. 또 해낸건가?|이 번엔 보스 잡다가 돌아가실 줄 알았는데.. 내가 틀렸네? 살았네? 축하하네!끌끌끌|그래 무엇을 찾아냈는가? 오! 구두구만. 유리구두!|유리구두는 보석은 아니었지만 고블린 들이 지독한 발냄새를 맡기 위해서 훔쳤다네.|고블린들은 악취를 좋아하지. 공주 발냄새도 말이야.|공주들도 발냄새 난다는 것쯤은 자네도 알고있지?|장난이 아니라네.|그럼 이제 고블린에 대해서는 이야기 해줬고. 피에로에 대한 이야기가 남았구만.|아름다운 공주를 흠모하던 피에로가 있었지. 어디서 들어본 것 같다구? 그럴리가.|아무튼 그 피에로는 공주와는 이루어질 수 없는 신분이었지.|그에게는 공주와 이야기 해볼 기회조차 주어지지 않았어.|하지만 그는 천재였지!|그는 공주와 얘기할 수 있는 방법을. 아니 그녀를 가질 수 있는 방법을 떠올린거야!|바로 납치였지!|그럼 그가 고블린이냐구?|이 친구 성질 급하기는. 아니야 아니야.|그는 다행히도 부자였어. 머리가 좋아서 돈도 잘 벌었거든.|그는 최고의 건축가를 고용해서 이 거대한 미로를 만들었어.|바로 이 던전을 말이지.|그리고는 미로의 비밀이 새어나가지 않게 그 건축가도 이 던전에 가두어버렸지.|하지만 죽이지는 않았어. 사람을 죽일만큼 나쁜 사람은 아니었거든.|어쨌든 이제 문제는 공주를 어떻게 납치하는가 이건데.|천재도 실수를 하는지 어떻게 공주를 납치 할지는 생각해두지 않았던거야.|잠시 고민하던 피에로는 마법사를 고용해서 공주를 개구리로 만들어 납치를 하기로 했어.|하지만 그가 마법사를 고용해서 던전에 돌아왔을 때 고블린들이 공주를 납치해서 던전으로 들어가는 걸 봤어!그리고 고블린들을 따라 던전으로 들어갔을 때 피에로는 알아차렸지.|이 던전은 더 이상 내 것이 아니구나. 하고 말이야.|바로 고블린들이 던전을 점령하고 있었던 거야.|하지만 모든 건 완벽했어. 던전은 완성되었고 공주도 이 던전으로 납치됐지.|미로를 잘 알고 있는 피에로는 공주를 구해서 밖으로 나가기만 하면 되는거였어.|공주를 구한 영웅이 되어 공주와 결혼을 하게 되는거지!|완벽한 계획 같았어. 정말이야. 며칠뒤에 공주를 구한 사람은 공주와 결혼할 수 있다는 왕의 전언도 있었거든.|하지만 그 남자가 나타나면서 이야기는 달라지기 시작했지.|그 남자가 누구냐구? 그건 다음 물건을 받은 뒤에 이야기해주지.,
story4,Finally! This is the last stuff.|The ring! Nice. It has a sapphire on it. I like Sapphire.|Alright. A few days later' the pierrot decided to break in the dungeon at night.|At that night' when he started to break in the dungeon' a guy showed up.|And he could recognized the guy. It was the wizard.|The wizard he hired to turn the princess into a frog. |He left the guy in the dungeon full of goblins when they visited this dungeon for the first time.|So he believed the guy was dead. But he was alive and in front of his eyes.|Even before the pierrot spitted the word ‘Sorry’' the wizard spelled a magic.. no a curse on him.|The pierrot was tore apart into thousands of pieces and each of them tuned into a monsters that looked just like the pierrot.|Some monsters have 4 legs or 0. Some of them has three eyes.|Anyway' the pierrot was stuck in the dungeon being cursed. The princess was still waiting for a hero to save her.|It looked like the wizard was the only one who could rescue the princess.|But he was wrong. There was another guy.|The guy who trained goblins to communicate in the maze.|Who do you think he is?|He was the architect the pierrot hired to build the dungeon.|He planed the whole thing since he was offered to build the dungeon.|But' all the sudden' he said this to the wizard.|’I am your father’|What?|YES!|He was the wizard’s father. The architect also is a wizard. He trained his own son a long time ago.|Father said he planed whole thing to help his son. And he cursed the princess and…|And before he finished his sentence' Son got angry about the princess was cursed. So he spell on his own father.|Now' aren’t you curious about who the wizard is and where he is?|Well.. Oooh! This is my favorite part! Every hero who heard this all went like ‘Wh~~~at?’|And that was hilarious.|Okey here it goes. The wizard is who you are looking at right now.|Surprised huh? No? Why aren’t you surprised?|What? Are you asking me if I kill my father?|No. I am not a monster. Did you meet the giant hood in the dungeon? That was him.|More question? What happened to every hero who heard this story?|Were you able to find the pierrot that is very tall?|Well. That is that.|You have so many questions. What is it? Why am I still here?|Actually' I was the first prince who entered this dungeon.|Yes' I am also a prince. The only prince in the Noson kingdom.|When I entered this dungeon. I figured out this dungeon is out of my boundary.|So I waited for the other challenger to rescue the princess.|I was going to kill the other challenger right before he rescue the princess.|But I wasted my time. A few more prince entered the dungeon. But no one made it.|So I gave up and left the dungeon. Heading to the nearest bar to drink some beer.|Then the pierrot was approached me and told me about the dungeon.|So I came up with a new plan to use the pierrot to rescue the princess and steal her form him.|But that bastard pushed me into this dungeon.|Luckily I am a wizard. My father taught me well.|No' not the king. The father I cursed. The king is my stepdad.|The king of Noson kingdom adopted me after he saw me spell a magic.|I think my real father tried to help me to get the princess easier.|But I don’t need him. He have never trusted me enough.|He was always like that. I hate that. That is why I got angry with him.|What? You have other question? Alright. This is the last one.|BTW' do you realize I am about to curse you?|Alright' the last question. What is it?|Why do I collect the princess’s belongings? Good question.|My sneaky father knew that the pierrot was going to approach me. So he made a goblin deliver a message.|Right after I cursed my dad' a goblin handed me a note that says|'Collect her belongings and she will show up.'|So that is why. And no more questions!|Now I have all her belongings. So she will show up.|And you are now ready to d...,드디어 마지막 물건이구만! 사파이어가 박힌 반지.|그럼 이야기를 계속해볼까?|고블린이 공주를 납치하고 며칠 후에 피에로는 던전에 들어갔지.|시간은 밤이었어. 던전에 들어가려는 순간 그 남자가 나타났지.|피에로는 단 번에 그가 누구인지 알 수 있었어. 바로 그가 고용했던 마법사였지.|사실 피에로는 비밀이 새어나가는 걸 막기 위해서 마법사와 같이 던전 깊은 곳에 들어가서.|혼자만 던전을 빠져나왔어. 마법사가 길을 잃고 영영 나오지 못하길 바라면서 말이야.|며칠이 지나서 마법사는 아마 굶어 죽었겠거니 생각했는데. 그런 그가 눈앞에 나타난거야!|피에로가 미안하다는 말을 채 꺼내기도 전에 마법사는 피에로에게 주문을 걸었어!|끔찍한 저주와도 같은 주문이었지.|피에로는 수천개의 조각으로 찢어졌고 그 조각 하나하나는 피에로 모습을 한 몬스터로 변했어.|어떤 몬스터는 다리가 4개인 것도 있었고 다리가 아예 없는 것도 있었지.|어떤 몬스터는 눈이 세 개나 있었고. 또 한 개만 있는 것도 있었어.|어찌됐든 피에로는 괴물이 되어 던전에 갖혀버렸어.|피에로를 제거한 마법사는 본인이 공주를 구할 수 있다고 생각했어.|하지만 섣부른 생각이었지.|던전에는 또 한 남자가 있었어. 바로 고블린을 훈련시킨 사람 말이야.|누구일 것 같니? 맞아! 바로 그 건축가야. 이 던전을 만든 건축가 말이야.|사실 그 건축가는 처음부터 계획했던 거야.|고블린의 공주 납치까지 모두 그 건축가의 계획이었지.|그런데 갑자기 마법사 앞에 나타난 건축가는 이상한 말을 했어.|’암 여 빠더’|맞아! 그 건축가가 바로 마법사의 아버지였어.|그 건축가는 마법사로도 명성이 자자했지. 오래전에 아들에게 마법을 가르쳐준 것도 바로 그 사람이었어.|그는 아들을 공주와 결혼시키기 위해 모든 걸 준비했다고 했지. 그래서 공주에게도 저주를 걸어두었다고 말했어.|헌데 아버지의 말이 끝나기도 전에 공주에게 저주를 걸었다는 말에 화가난 아들은 아버지에게 저주를 걸었어!|이쯤되면 궁금하겠지? 그 아들. 그 마법사는 누구인지? 어디에 있는지 말이야.|난 이 부분이 제일 좋아! 이 얘기를 들은 왕자들은 모두 ‘뭐라구~?’ 라며 놀라곤 했지.|언제봐도 그 표정들이 재밌단 말이야.|궁금하지? 알려줄께. 바로 너의 눈 앞에 있는 사람이야!|놀랐지? 안놀랐어? 왜 안놀라지?|뭐? 내가 아빠를 죽였냐고? 아니야. 그럴리가. 나도 사람이라구.|반지를 가지고 있던 큰 후드입은 마법사가 바로 내 아빠야.|후드를 벗을 수 없는 저주를 걸어두었지.|이 이야기를 들었던 왕자들은 어떻게 됐냐고?|던전에서 키 큰 피에로들을 보았지? 피에로가 저주에 걸려서 만들어진 몬스터 중에 그렇게 긴허리를 가진 피에로는 없었어.끌끌끌.|너 참 질문이 많구나. 또 무슨 질문이니?|난 여기서 뭐하고 있냐고?|사실 내가 이 던전에 들어온 첫 번째 왕자야. 그래! 나도 왕자야.|노손 왕국의 유일한 왕자이자 최고의 마법사지.|내가 처음 이 던전에 들어왔을 때 한 번에 알 수 있었어.|난 이 던전을 들어가면 나올 수 없다는 걸 직감할 수 있었지.|내가 또 이름난 길치거든.|그래서 다른 왕자들이 공주를 구하기를 기다렸어.|그리고 그 왕자에게서 공주를 빼앗을 생각이었지.|그런데 시간 낭비였어.|몇명 왕자들이 들어오긴 했지만 공주를 구하기는 커녕 던전에 들어가서 돌아오지도 못했지.|그래서 그냥 돌아갔어. 근처 바에서 맥주나 한 잔하고 있는데 피에로가 나에게 다가와 그 던전에 대해 말하는게 아니겠어?|그래서 새로운 계획을 세웠지.|피에로가 공주를 구하게 한 뒤 그 피에로에게서 공주를 빼앗는 것으로 말이야!|그런데 그 멍청이가 나를 이 던전에 버리고 가버렸어.|하지만 아버지가 날 잘 가르쳐줘서 훌륭하게 자란 이 마법사가 그 정도로 당할리 없지.|아니야. 왕이 가르쳐준게 아니야. 내가 저주를 건 그 아빠 말이야.|왕은 날 입양했어. 친아빠는 큰 후드를 쓴 그 사람이야.|아빠는 내가 공주를 구하는걸 도와주려고 했어. 하지만 난 그의 도움따위는 필요없어!|난 아빠랑 살고 싶었다구. 왕자 따위가 되고 싶던게 아니야!|그게 내가 아빠에게 화난 진짜 이유야.|뭐? 또 질문이 있다구? 넌 정말 질리지도 않나보구나.|그래. 하지만 이게 마지막이야!|근데 너 지금 내가 널 그 키큰 피에로로 만드는 저주를 퍼부을 거라는 걸 알고 있는거지?|그래 질문이 뭐야? 왜 내가 공주의 물건을 모으고 있냐구? 좋은 질문이야!|능글맞은 우리 아빠는 피에로가 나에게 접근하리라는 것도 알고 있었어.|그리고 내가 그에게 저주을 퍼부을 거라는 것도 말이야.|그래서 아버지는 미리 고블린에게 그가 저주에 걸리면 아들에게 쪽지를 가져다 주라고 시켜두었지.|쪽지에 그렇게 쓰여있었어.|’공주의 물건을 모으면 공주가 나타날 것이다’|됐어! 이제 질문은 그만!|이제 공주의 물건은 다 모았으니 공주가 나타날거고.|넌 이제 크~은 삐에로가 되..,
jewel collected,A jewel is collected. Survive and go talk to the hood.,공주의 물건 획득. 살아남아 후드에게 가세요.,
found a shop,You found a shop! You can buy stuff with coins you collected.,상점을 발견했습니다. 상점에서는 던전에서 획득한 코인으로 물건을 살 수 있습니다.,
suitcase room,You found a suitcase. Open the suitcase with a blue dragon key.,수트케이스를 발견했습니다. 파란 용 열쇠로 열 수 있습니다.,
auto targeting,CHANGED TO AUTO TARGETING,,
manual targeting,CHANGED TO MANUAL TARGETING,,
tutorial_ghost_intro_0,Hi' I’m Tutorial Ghost.,안녕. 난 튜토리얼 고스트야.,
tutorial_ghost_intro_1,Good to see you. You may not see me. Because I’m invisible.,만나서 반가워. 내가 투명해서 안보이지?,
tutorial_ghost_intro_2,But I believe you hear me. So I’m going to keep talking. Because I like to talk.,그래도 내 말은 들을 수 있을꺼야. 그러니 그냥 얘기할께. 난 말하는걸 좋아하거든.,
tutorial_ghost_intro_3,I talk a lot. Sorry. But it will be helpful. I promise.,미안해. 내가 엄청 말이 많아서 말이야. 그래도 도움은 될꺼야.,
tutorial_ghost_intro_4,If you are from the PC-land' you can use WASD to move.,PC버전에서는 WASD 키보드로 움직이면 돼.,
tutorial_ghost_intro_5,If you are from the mobile-land' then I don’t have to tell you how to move. Because it’s right there.,모바일은 아래 보이는 패드로 조작하면 되구.,
tutorial_ghost_pc_0,But I see you are a PC-landian. So I will just tell you about the PC-landian manual.,PC랜드에서 온 것 같으니 PC버전에 대해서만 알려줄께.,
tutorial_ghost_pc_1,You can interact with things with E key on keyboard like talking to NPC or pulling a lever.,E키를 사용해서 상호작용을 할 수 있어. NPC에게 말을 걸 때도 쓸 수 있어.,
tutorial_ghost_pc_2,Guns and bullet information is at the top-left corner of the screen.,왼쪽 위에 총과 남은 총알의 수가 표시되어 있구.,
tutorial_ghost_pc_3,Press Tab key to see the entire-map. And the mini-map is available on the top-right corner of the screen.,오른쪽 위에 미니맵이 표시되어 있어. Tab키를 누르면 전체 맵을 볼 수 있어.,
tutorial_ghost_pc_4,R key to reload bullets. And number keys to change your weapon.,R키로 재장전을 할 수 있고 숫자키로 무기를 바꿀 수 있어.,
tutorial_ghost_pc_5,Move the mouse to aim and press the left button to shoot.,마우스를 사용해서 조준하고 왼쪽 버튼을 누르면 총을 쏠 수 있어.,
tutorial_ghost_pc_6,Also' you can reload bullets with the right button on the mouse.,마우스 오른쪽 버튼으로도 무기를 재장전 할 수 있어.,
tutorial_ghost_mobile_0,But I see you are a mobile-landian. So I will just tell you about the mobile-landian manual.,모바일랜드에서 온 것 같으니 모바일 버전에 대해서만 알려줄께.,
tutorial_ghost_mobile_1,To interact with things like NPC or a lever' you should approach and touch the screen.,NPC에게 말을 걸거나 상점을 이용하려면 가까이 가서 화면을 터치하면 돼.,
tutorial_ghost_mobile_2,Guns and bullet information is on the top-left corner of the screen.,왼쪽 위에 총과 남은 총알의 수가 표시되어 있구.,
tutorial_ghost_mobile_3,By touching the screen when nothing is in front of you' you can see the entire-map.,오른쪽 위에 미니맵이 표시되어 있고. 미니맵을 누르면 미니맵을 더 크게 볼 수 있어.,
tutorial_ghost_mobile_4,And the mini-map is available at the top-right corner of the screen.,화면의 오른쪽 아래 버튼들이 보이지? 이미 알고 있겠지만.,
tutorial_ghost_mobile_5,By the buttons you see at the right-bottom of the screen' you can shoot' jump' reload and change weapons.,그것들로 총을 쏘고 점프하고 총을 바꾸고 재장전 할 수 있어.,
tutorial_ghost_mobile_6,Shooting is enabled when you hold the shoot button for a moment.,총 쏘는 버튼을 누르고 있으면 잠시 뒤에 총알이 발사될거야.,
tutorial_ghost_mobile_7,That makes sure you don’t waste any bullet before you actually aim at the enemy.,총이 활성화되기 전에 조준할 수 있는 시간이 있어서 총알이 낭비 되는 일을 막아주는 거야.,
tutorial_ghost_general_0,One more jump is allowed in the air. Called ‘Tumbling’. When you are tumbling' you don’t get hit by bullets or anything.,공중에서 점프를 한 번 더 할 수 있어. 텀블링이라고 하는데. 텀블링 중에는 무적상태가 돼.,
tutorial_ghost_general_1,Now' this is the most important part of this dungeon.,이제 가장 중요한 부분이야.,
tutorial_ghost_general_2,The dungeon changes itself everyday. So it will be challenging everyday.,이 던전은 매일매일 바뀌게 되어있어. 매일매일 새로운 던전으로 바뀌는 거야.,
tutorial_ghost_general_3,And even on the same day' you can see a different dungeon depends on which room you reveal first.,그리고 같은 날이라도 다른 순서로 방을 접근하게 되면 전혀 다른 지형으로 변해.,
tutorial_ghost_general_4,You may not understand what it means. But you will see what it is. Just keep playing.,지금은 무슨 말인지 모를 수도 있어. 하지만 계속 하다보면 알꺼야.,
tutorial_ghost_general_5,And… that’s it. That’s all I know. But don’t shoot me. I want to keep talking.,그리고.. 끝이네? 그게 내가 아는 다야. 하지만 날 쏘지는 마. 계속 얘기하고 싶으니까.,
